generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,size_bytes,extension,created_at
img_00013615__color_shift__model_agnostic,img_00013615,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013615.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013615.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013615__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.465775489807129, ""perturbation_norm_l0"": 1411371, ""perturbation_norm_l2"": 13873.5888671875, ""perturbation_norm_linf"": 31.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,67238c60be16c2a2b9c90564c27d9f4007de9abb030f2a7d1f601a45ba9b337c,2c9850e81ec33029c4ea279a61247105,88a89661dfcc8137eeaa2e555965ccb449d9720d420f0beac9cf06be4aeb9623,5e7acb3a447ac777c118dc67b293a82f,1411371,13873.5888671875,31.0,9.465775489807129,109932,.jpg,2026-05-04T22:53:16+00:00
img_00013698__color_shift__model_agnostic,img_00013698,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013698.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013698.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013698__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 8.754179000854492, ""perturbation_norm_l0"": 2830698, ""perturbation_norm_l2"": 18992.86328125, ""perturbation_norm_linf"": 27.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,c2245322454f66acdf488ece6c213cbdd4178420baeccd25cc4d1e28791aa6cc,2485001f91b446c245901ee2d6ed2029,1f8b800dd7075c886cad77a0821ddf0e5890a84761254044def2a329e5d8777f,4eb3936049d1ab77c11c2f505510b60f,2830698,18992.86328125,27.0,8.754179000854492,372712,.jpg,2026-05-04T22:53:16+00:00
img_00013803__color_shift__model_agnostic,img_00013803,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013803.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013803.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013803__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 7.4351019859313965, ""perturbation_norm_l0"": 1755987, ""perturbation_norm_l2"": 14350.1884765625, ""perturbation_norm_linf"": 21.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,150b4f40042904e82705494002aeca677b49b3d62a9342f9db1af27695f27da5,2981fbea279e8bb3406cd33407cc6e54,75019aa48b53f968ffb16ed3278ad8620b97a0407bdd79e46ba8979eaefedbe5,983db5c8697369cc7c7759e53301e898,1755987,14350.1884765625,21.0,7.4351019859313965,176552,.jpg,2026-05-04T22:53:16+00:00
img_00013869__color_shift__model_agnostic,img_00013869,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013869.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013869.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013869__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 5.3456525802612305, ""perturbation_norm_l0"": 265670, ""perturbation_norm_l2"": 5473.94091796875, ""perturbation_norm_linf"": 19.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,1b3a7902f6f6f96e866ba4f81ef7f8cafb5191a187005bd17b0a6ec7aefc72fd,cadd5399d0c4154e235215e3b64a0e82,9e47c9f152fa35c24525127b15d7c9369fa1cf7e5a63a43044dd6b2b24b87853,24014fc9da4d8615aa7ad75403f810d9,265670,5473.94091796875,19.0,5.3456525802612305,63692,.jpg,2026-05-04T22:53:16+00:00
img_00013870__color_shift__model_agnostic,img_00013870,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013870.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013870.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013870__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 7.676787376403809, ""perturbation_norm_l0"": 2427680, ""perturbation_norm_l2"": 15924.7333984375, ""perturbation_norm_linf"": 28.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,c06cf9da5062ca7be1f40fe0d79bea3ef6e127ee4aa36286e00c85b5f9491f49,cf18ec89cf0d0baf77d1334b88f653c6,5fea8ef80e14d2068a43b354494796e2bea175eb0146b1728dbbee4b21c2d653,e1a9c3cfd1977b0059a87b20200b38a9,2427680,15924.7333984375,28.0,7.676787376403809,241374,.jpg,2026-05-04T22:53:16+00:00
img_00014149__color_shift__model_agnostic,img_00014149,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00014149.jpg,datasets/splits/clean/fold_1/non_weapon/img_00014149.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014149__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.559002876281738, ""perturbation_norm_l0"": 2753591, ""perturbation_norm_l2"": 19045.365234375, ""perturbation_norm_linf"": 19.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,c24a892b1c3a48deb44167057b85bb1b0bedf0d01216126450120bc67ce18e25,d2c6c17baeebf74c443eac68448568b9,c71c1d0aea48e395ca6f95f248c0f8832c8e69cc6e9f4594b14714c643992843,e10b0bd13afb667bf3f5686b51cf33c2,2753591,19045.365234375,19.0,9.559002876281738,255003,.jpg,2026-05-04T22:53:16+00:00
img_00014184__color_shift__model_agnostic,img_00014184,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00014184.jpg,datasets/splits/clean/fold_1/non_weapon/img_00014184.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014184__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.170612335205078, ""perturbation_norm_l0"": 2479908, ""perturbation_norm_l2"": 18455.845703125, ""perturbation_norm_linf"": 20.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,ea74e773166363235e341652c925d0aa8f310c4c757910047898f930d3cd3633,8715afaec3080de3d2ccff5d0e2e1a0e,6155e87d3c52032ae0b9870d244ee1bc773af2e09fc8895aa9f960806c0ac831,f3653c412961bb5a4bf3e87913b71b88,2479908,18455.845703125,20.0,9.170612335205078,101980,.jpg,2026-05-04T22:53:16+00:00
img_00014190__color_shift__model_agnostic,img_00014190,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00014190.jpg,datasets/splits/clean/fold_1/non_weapon/img_00014190.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014190__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 11.490177154541016, ""perturbation_norm_l0"": 858163, ""perturbation_norm_l2"": 13152.0859375, ""perturbation_norm_linf"": 26.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,c9e752f5f7ea54bfdc4f21a9b154f6b945fbd562db96199642a1154d6fffe4f3,86c90ee4fecdac1ee3ad02ee38dca0d6,00f19062bbe1d23310ec6c4e3557995e48692c67028050bfeec7ec928e946e8d,1e5abe5390e163282025672094a6e01a,858163,13152.0859375,26.0,11.490177154541016,32941,.jpg,2026-05-04T22:53:16+00:00
img_00014436__color_shift__model_agnostic,img_00014436,fold_1,non_weapon,05_deepweb,deepweb,,images/img_00014436.jpeg,datasets/splits/clean/fold_1/non_weapon/img_00014436.jpeg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014436__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 8.70134162902832, ""perturbation_norm_l0"": 1078625, ""perturbation_norm_l2"": 13689.5126953125, ""perturbation_norm_linf"": 30.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,ed426c88b71ee65913602eb323d23dd9f32a1f10a4167b52db6b940c327e6de7,debfb38f48e856ea1de313bde0c0f6f5,1482fb74db86117ce9db55dc58c3d590481eaec19a073dbaaa64f39b58bd793f,4305c8fa9e1c6a11c6ba0803a179abb3,1078625,13689.5126953125,30.0,8.70134162902832,155120,.jpg,2026-05-04T22:53:16+00:00
img_00014450__color_shift__model_agnostic,img_00014450,fold_1,non_weapon,05_deepweb,deepweb,,images/img_00014450.png,datasets/splits/clean/fold_1/non_weapon/img_00014450.png,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014450__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 8.498708724975586, ""perturbation_norm_l0"": 1659103, ""perturbation_norm_l2"": 12926.5048828125, ""perturbation_norm_linf"": 15.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,4344f4767ba1d3294bb4ea3e919189a76dbce937469e5da6cc1196eead512beb,00aae0222fe7f27050cbdaaaad79f533,c5608f9a1385c6e80b2e857d5fbae0a220c7706d0e0462469f8ebbae0edf25a5,6276a62edf3bfcd394e6e8cdb7dee974,1659103,12926.5048828125,15.0,8.498708724975586,28289,.jpg,2026-05-04T22:53:16+00:00
img_00014463__color_shift__model_agnostic,img_00014463,fold_1,non_weapon,05_deepweb,deepweb,,images/img_00014463.jpeg,datasets/splits/clean/fold_1/non_weapon/img_00014463.jpeg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014463__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.129776954650879, ""perturbation_norm_l0"": 2814864, ""perturbation_norm_l2"": 18530.244140625, ""perturbation_norm_linf"": 28.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,10b63e7ce3d64bffb5065b3b64031a83cfeb88fbdb8b7873e2cdea30b8349a12,0a2e8360bfbd38360378017d131de233,29a9fc9e3c2d0d9a18d579b79b363acbd74a5a2be3e459398162227b7313ec3b,6954a78ae1d7e602bab8a5a018ab7f6d,2814864,18530.244140625,28.0,9.129776954650879,181530,.jpg,2026-05-04T22:53:16+00:00
img_00014465__color_shift__model_agnostic,img_00014465,fold_1,non_weapon,05_deepweb,deepweb,,images/img_00014465.jpeg,datasets/splits/clean/fold_1/non_weapon/img_00014465.jpeg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014465__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 8.776923179626465, ""perturbation_norm_l0"": 439257, ""perturbation_norm_l2"": 7166.916015625, ""perturbation_norm_linf"": 28.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,b8608f9b61709cebe5de0fc020c26b05dd3cc63abbca706f407bec110b42a452,0a974353fb81eb1fe96f63ed5065ae53,e6e3d8e4de95f51ce42a455328e4123de35ed097e1dfaffaaf6ce2544a392d13,c7d22d66afc4eee5b7065a70b394f407,439257,7166.916015625,28.0,8.776923179626465,43193,.jpg,2026-05-04T22:53:16+00:00
img_00014478__color_shift__model_agnostic,img_00014478,fold_1,non_weapon,05_deepweb,deepweb,,images/img_00014478.jpeg,datasets/splits/clean/fold_1/non_weapon/img_00014478.jpeg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014478__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.66029167175293, ""perturbation_norm_l0"": 252767, ""perturbation_norm_l2"": 6439.42724609375, ""perturbation_norm_linf"": 20.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,fda02ad4e361c74930274b7cce6984571522ea0fdc52dd786ded825b87b44f6c,129ce34154212850119344f7df405611,aee00be9de3d295e9a719620cc894c8c291caf264d205ef106830620bbcd80f8,3d9d9c2e5998917889f957b27ef7d049,252767,6439.42724609375,20.0,9.66029167175293,22541,.jpg,2026-05-04T22:53:16+00:00
img_00014494__color_shift__model_agnostic,img_00014494,fold_1,non_weapon,05_deepweb,deepweb,,images/img_00014494.jpeg,datasets/splits/clean/fold_1/non_weapon/img_00014494.jpeg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00014494__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.278557777404785, ""perturbation_norm_l0"": 1351654, ""perturbation_norm_l2"": 15104.45703125, ""perturbation_norm_linf"": 31.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,8cf2a3b4d380f2a491a5c1129769e6f4aaf105decdfaedaa4bb12118d41f6cd4,1b4d80a56123ea5025f8758c70390c82,653e27ceaf283b467fed3be56ba34ea201043a81968e1472c6641731a9135ea1,8d5b0c978a7b74095bc62cecb753e5e9,1351654,15104.45703125,31.0,9.278557777404785,88843,.jpg,2026-05-04T22:53:16+00:00
